id,type,red,gray,cryst,misc,n_pebbles
1,P,53.6,38.6,3.6,4.2,1773
2,P,85.8,10.8,3.4,0,980
3,P,89.6,7.7,1.2,1.3,1478
3A,P,85,7.1,2.5,2.5,751
4,P,93,5,0.7,1.1,672
4A,T,91.8,7.1,1.1,0,282
5,P,65.7,24.3,4,5.8,890
6,P,87.6,8.9,1.4,3.4,702
7,P,88.8,10,1.1,0,805
7A,T,88.9,10.1,0.5,0.5,368
8,P,81.1,11.8,2.4,4.5,1121
8A,S,54.5,38.3,1.8,5.4,334
9,P,87.2,8,1.9,2.1,420
10,P,92.5,7.5,0,0,360
12,P,92.2,6.5,1,0.2,591
13,P,89.4,6,1,3.6,749
14,P,91.1,6.4,0.4,1.8,632
15,P,70.7,24.7,1.3,3.1,1114
15A,S,71.4,27.3,1.2,0,245
16,P,86.7,11.5,1.7,0,408
17,P,77.1,17,2.2,3.6,3115
18,P,86.9,8.1,1.4,3.5,703
19,P,87.4,10.6,0.9,1,770
20,P,88.1,7.3,2.4,2,574
21,P,80.9,15.2,1.8,1.9,973
22,P,91.4,8.5,0,0,540
23,P,88.3,11.6,1.3,1.2,1317
24,P,93.9,4.5,0.7,0.6,766
25,P,84,14,0.1,1.7,634
26,P,87.3,11.2,0.8,0.5,848
27,P,90.8,7.2,0.9,0.9,747
28,P,95.9,2.1,1,0.8,466
29,P,95.1,4,0.5,0.3,948
30,P,93.8,5,0.5,0.5,519
31,P,85.4,11.4,0.9,2,1109
31A,P,86.6,10.3,1.8,1.1,793
32,P,91.1,7.7,0.3,0.7,765
34,P,95.3,5.4,0.8,0.5,365
35,P,90.5,7.6,1.5,0.2,393
36,P,58.6,6.2,22.4,12.4,401
37,P,92.7,6.1,1,0,554
38,P,91,5.6,1.4,1.8,493
39,P,92.3,6.3,1.3,0,538
40,P,82.8,14.7,0.7,1.6,787
41,P,77,19.9,1.2,1.7,697
43,P,90.1,6.7,2.7,0.4,477
44,P,92.2,5.4,0.7,1.6,554
45,P,95.5,2.5,0.6,1.4,640
46,T,87.3,10.9,0.8,1,607
47,P,91.2,7.2,0.7,1,613
48,P,92.4,5.2,0.7,1.6,554
49,P,93.6,1.6,0.7,4.1,686
50,P,90.2,5.6,1.6,2.5,733
51,P,89,8.2,1.2,1.6,575
52,P,86.1,9.3,2.8,1.8,281
53,P,89.5,5.4,0.6,4.5,781
54,P,89.7,6.6,0,4.3,256
55,P,71.8,6.9,0.8,20.4,721
56,P,69.2,11.1,0.5,19.1,523
57,P,40.5,34.3,0,25.2,306
58,P,79.3,15.6,0.8,4.3,513
58A,T,84.6,13.5,0,1.9,532
59,P,18,77.5,0.9,3.6,467
60,P,18.4,81,0.5,0,385
60A,T,14.7,81.1,0.3,3.6,360
61,P,41.6,58,0.3,0,822
62,P,91.7,8.3,0,0,555
63,P,68.8,17.4,1.9,6.3,1104
64,P,77.3,17.8,3.4,1.5,724
65,P,71.6,21.1,4.3,2.9,790
66,P,85.5,11.9,1.9,0.6,767
67,T,37,36.1,4,22.8,470
68,T,34.3,59.8,5.9,0,102
69,P,23.1,56.2,1.6,8.2,635
70,T,21.5,75,0.4,3.1,544
71,T,67.2,31.5,0.3,1,387
72,T,49.9,46.9,0.7,2.7,294
73,T,18.7,79.3,0.4,1.6,503
74,P,86.7,11.7,0.8,0.6,603
75,T,11.3,88.2,0.4,0,697
76,T,91.1,7.9,0.8,0.3,393
77,T,81.7,17.6,0,0.8,665
78,T,97.6,2.3,0,0,347
79,T,3.4,95.1,0.4,1,791
80,T,25.3,71.1,3.6,0,225
81,T,56,26.3,2.3,15.4,175
82,P,30,43,5.9,20.8,752
85,T,75.1,24.6,0.3,0,333
86,T,15.2,80.7,1.9,2.2,269
87,T,41.5,36.4,5.1,17,118
88,T,19.5,77.9,0,2.6,154
89,T,87.1,9.8,1.1,0,276
90,T,93.7,5.2,1,0,480
90A,T,87.9,8.5,0,3.5,373
91,T,80.2,18.4,1.4,0,369
92,T,83.3,15.1,1.6,0,126
93,T,82.6,16.5,0.9,0,460
94,T,83.2,14.5,1.6,0.7,441
95,T,64.7,34.5,0.8,0,502
96,T,58.7,41.2,0,0,126
97,P,50.5,35.7,4.3,9.2,797
99,T,66.5,28.7,0.8,4,376
99A,T,89.8,9.3,0.8,0,118
100,T,80.5,17.8,0.7,1,303
101,T,85.6,12,2.4,0,250
102,T,78.4,16.7,12,3.8,582
102B,T,62.3,31.8,2.8,2.8,69
